before wait	after wait	rtt
777	3600	4882
381	3131	4350
414	3345	4276
416	3170	4690
387	3131	4790
375	3101	4842
377	3133	4735
374	3215	4697
380	3240	4835
389	3080	4689
377	3259	4750
378	3107	4812
413	3179	4771
377	3105	4769
377	3141	4697
387	3244	4718
383	3118	4786
393	3093	4764
375	3118	4705
385	3139	4655
404	3288	4716
393	3173	4832
383	3093	4819
412	3821	4688
415	3280	5567
408	3153	4696
382	3239	4855
385	3530	4796
375	3110	4667
388	3272	4825
406	3263	4819
381	3276	4866
387	3276	4760
385	3301	4825
381	3299	4811
381	3268	4836
383	3109	4880
377	3105	4779
383	3263	4865
377	3103	4821
381	3122	4800
391	3128	4737
386	3112	4839
383	3429	4734
418	3158	4745
385	3234	4836
402	3243	4866
434	3152	4678
387	3139	4802
386	3204	4771
403	3152	4748
385	3252	4789
385	3141	4692
394	3100	4773
382	3106	4611
410	3686	4747
383	3116	5198
385	3110	4779
381	3215	4781
406	3288	4762
381	3126	4753
382	3131	4662
383	3122	4745
387	3286	4789
383	3086	4868
385	3305	4813
413	3316	4807
377	3244	4823
373	3125	4683
377	3099	4581
379	3334	4716
402	3128	4558
383	3099	4739
394	3234	4857
381	3086	4669
379	3488	4793
381	3121	4834
390	3150	14502
388	3230	5906
381	3278	5023
510	3356	5634
402	3312	4619
372	3090	4924
379	3114	4973
377	3108	4925
414	3293	4815
374	3265	4892
391	3669	4781
404	3134	5433
385	3108	4857
387	3124	4821
374	3252	4852
380	3123	4858
379	3133	4806
392	3116	4848
385	3173	4882
375	3221	4855
383	3251	4752
379	3227	4812
373	3253	4828
369	3127	4870
381	3263	4680
379	3095	4830
434	3148	4727
383	3101	4876
391	3122	4810
383	3236	4771
383	3211	4851
376	3269	4787
412	3171	4789
375	3106	4807
377	3118	4790
398	3130	4848
373	3278	4855
378	3170	4764
385	3278	4834
385	3246	4770
379	3127	4796
390	3106	4847
392	3502	4731
373	3139	5302
415	3320	4680
371	3120	4792
373	3120	4863
377	3095	4746
366	3124	4838
381	3151	4774
379	3090	4802
387	3099	4922
419	3165	4801
387	3301	4787
411	3131	4805
377	3112	4876
405	3129	4805
415	3135	4769
389	3132	4728
383	3120	4805
393	3124	4787
383	3249	4773
381	3259	4874
425	3137	4857
414	3155	4753
379	3139	4813
379	3129	4737
373	3133	4842
453	3342	4826
375	3097	4726
369	3283	4748
371	3078	4885
381	3118	4748
373	3106	4798
393	3827	4842
396	3145	5377
411	3139	4813
385	3242	4814
370	3093	4781
375	3112	4899
400	3095	4789
380	3101	4892
376	3160	4842
378	3084	4854
387	3156	4916
371	3120	4712
377	3259	4824
379	3103	4830
381	3068	4784
383	3235	4762
379	3099	4868
