before wait	after wait	rtt
1470	33453	38447
1577	33761	36443
877	33033	36661
802	32950	34976
913	32888	36417
782	33047	35709
4389	35943	38802
883	32996	37683
803	32929	35053
806	32924	35819
1157	33327	37203
824	33078	36001
884	32958	36081
737	32921	35457
807	33082	35973
1084	33170	36984
952	32947	34935
768	32963	37534
763	33027	35246
889	33100	36040
1046	33397	37023
876	33129	36976
1520	32933	35775
864	33192	37927
1837	33661	37583
1655	33420	35598
786	32940	37095
814	32909	36704
887	32933	36047
1786	33217	36189
846	33054	37390
830	32989	37946
886	32852	35045
823	32983	36441
1126	33385	38138
852	32972	37723
812	32879	35086
803	33049	36566
1849	33288	36812
1538	32958	37907
820	32974	37031
770	33121	38061
794	32975	37354
1096	33327	35724
1083	33083	35289
830	32990	35590
755	32928	37678
797	32953	37574
1200	33260	36499
899	33057	36774
787	33093	36124
752	33032	37148
1161	33317	38016
1697	33043	36904
725	32997	36737
903	33140	37745
840	32917	36895
1786	33168	35418
1583	33027	36789
823	32941	36407
793	32883	35406
798	32894	38263
1095	33278	37325
843	33066	36516
882	32905	35242
775	32986	37106
1827	33771	37870
1352	33467	37064
779	32915	37323
778	33023	36097
1538	32900	38225
1700	34007	35938
928	32961	37635
1522	32922	35116
779	32954	37516
761	32903	36796
1082	33159	35592
783	32912	35914
746	32857	34995
870	33057	38289
1017	33209	36932
804	32980	36142
802	32949	36822
979	33137	36924
886	32906	36889
1762	33221	36020
800	32931	37168
760	33026	37002
894	32934	37868
810	32961	37330
1057	33330	35388
1603	33045	37414
780	32944	35444
726	33015	35479
1820	33242	36394
1621	33775	36907
789	33020	35530
1546	33057	37987
782	32910	37439
1032	33196	37466
813	33064	35144
775	33000	36762
791	32974	36323
1540	33857	36891
1013	33172	37190
830	33024	39383
778	32951	37491
773	32944	36369
1094	33325	38023
833	32965	36577
779	32946	36432
813	33039	35243
777	32897	36329
1731	33791	36791
898	33019	35021
841	32998	35887
807	32958	37581
807	32990	37060
1126	33384	36626
862	32999	36199
814	32997	36820
814	32955	36082
1146	33290	37276
855	32971	36803
780	32958	35030
790	33007	37174
819	33021	36361
1227	33412	37356
869	33053	37150
762	32928	37280
732	32945	36377
805	32909	35560
1070	33212	36969
800	33066	37842
823	33177	43706
1519	33810	37216
1049	33157	45537
897	33134	37366
925	33207	36251
2230	33431	35499
763	32937	35820
1768	33823	37425
890	32990	36092
756	32954	35729
794	33074	36137
2716	33934	38243
1435	33513	37836
907	33095	36368
797	33005	35825
730	39493	42343
1694	33756	36484
879	33094	35293
771	33005	38160
787	33041	36790
767	33045	37758
1764	33905	37311
969	33142	35317
803	32973	37420
771	32950	37324
1111	33311	37743
846	33060	37090
813	32928	37293
778	33023	37353
786	32965	36497
1143	33245	36848
828	33040	36840
761	32927	35724
763	32917	36659
780	32986	36061
1071	33151	35394
882	32985	37440
787	33047	37784
718	32986	36742
3536	35280	37463
846	32967	36164
810	32986	35613
769	32915	34923
783	32894	36313
1034	33284	36224
805	33047	37687
774	33039	38134
770	33047	34997
770	33008	36937
1082	33357	37334
816	33059	37186
813	32999	36214
722	32963	37355
1685	45457	46492
1104	33220	36150
824	33298	37353
871	33000	37145
755	32905	37320
1022	33150	35722
807	33037	35571
772	32970	37086
818	32985	35807
4057	33024	37989
891	33067	35531
750	33054	36099
770	32959	37730
737	32919	37880
1754	33859	36260
1492	34042	38304
964	33137	35931
754	32952	37242
779	33252	37974
1058	33273	38194
1593	33906	37359
899	32997	36826
778	32952	36039
1088	33348	37973
896	33100	37905
832	33042	38322
780	33052	35607
773	33030	37150
1057	33340	37830
957	33008	36510
787	32914	36032
784	32994	36141
775	32949	37066
1083	33228	35473
823	32993	37440
791	33040	37981
802	33092	38255
1113	33342	36555
837	32987	35740
760	33104	37287
785	32977	35524
816	32990	35767
1740	33719	37049
836	32980	35690
798	32938	35134
788	33071	34971
768	33021	35850
1037	33198	37790
836	33154	35333
793	32965	36925
837	32975	36137
1078	33305	37482
857	33057	36868
801	32994	35682
817	33057	37470
786	33019	37103
1684	33735	38287
859	33019	35577
786	32999	36093
769	32936	37649
764	32974	36379
1076	33234	36998
869	33036	36469
767	33047	37046
806	33068	37322
1043	33246	35513
849	33057	37137
835	32997	37340
755	33057	35242
717	33001	36124
1077	33287	37751
814	33045	37350
820	32982	36830
757	32962	37233
749	32959	35790
1106	33407	36906
821	32978	37928
750	32898	36038
768	32930	38080
2090	34030	38268
1436	33450	35865
832	33152	36086
804	32947	37977
820	33012	35505
1070	33273	35746
807	32979	36432
767	32946	37129
776	32954	35090
905	33145	39836
1232	33483	36844
829	33062	36267
766	32963	36150
791	33547	36437
1098	33251	38031
850	33065	35982
800	32958	35506
817	32904	35516
829	32932	37594
1063	33190	37498
867	32992	35582
794	33006	37851
795	32880	36895
774	35604	36492
1037	33254	36514
825	32977	35231
790	33029	35546
805	33038	36140
1176	33319	36037
985	33060	37312
809	32997	36336
788	33032	37610
764	32994	37077
1198	33393	36643
934	33053	36281
796	33011	36280
793	33060	37416
742	32888	39213
1129	33277	38170
814	33033	35570
762	32970	37330
733	32938	37948
1749	42431	43514
1042	33221	35469
744	32881	35055
881	33048	36375
789	32962	38302
1086	33184	36883
1592	33093	35986
792	33012	37573
796	33033	36097
784	33107	37917
1002	33108	36258
797	33097	36177
878	32925	36725
786	33079	38079
1062	33232	36645
833	33149	35476
803	33089	35853
823	32933	37672
789	32913	37997
1733	34143	38113
812	32932	35556
814	32989	37939
777	32935	36148
726	33127	38220
1017	33070	36946
818	33045	36571
787	32946	36426
1550	33799	38239
2359	34270	38393
1610	32997	37896
791	33037	38759
920	33148	36058
794	32954	37481
1821	33270	36448
1574	33066	35324
904	33078	36672
803	32959	37358
1855	33234	35715
833	33010	35338
850	33098	35603
880	32963	37009
1488	37635	41333
1603	33639	35743
859	33155	37030
793	33006	37365
1113	32945	35120
1502	32912	35413
1055	33280	35416
946	33066	37431
1518	32983	35231
777	32940	37347
1069	33319	35856
807	32991	36467
827	33024	35536
764	32916	37103
779	33014	37457
1091	33244	36129
808	32963	36420
791	32924	35473
775	33002	38050
773	32975	37705
1032	33277	36809
834	33085	36020
802	33150	35742
778	33073	38408
1737	33907	38339
1395	33398	35871
925	33208	37570
841	33077	35611
730	32974	35801
1030	33348	36851
817	32986	35529
804	32971	36530
748	32939	35839
782	32959	38323
1090	33299	35925
836	33011	36106
791	32943	35713
764	33136	37929
1080	33318	35538
823	32966	38050
770	33000	36204
774	32997	36131
918	33135	35670
1784	33693	37293
830	32940	37027
1007	33224	35178
804	32999	35487
742	32940	37295
1121	33301	37030
847	33077	36573
822	32983	36049
807	33002	37378
1130	33314	35893
807	33000	36998
900	33147	37640
853	33082	36509
773	32948	37561
1056	33232	37858
828	33561	37155
780	32950	36537
793	32989	37597
789	32903	35652
1609	33616	37717
790	32938	37644
806	32999	37049
766	32983	37663
3057	34103	38484
824	32977	37864
785	33017	35463
789	32959	36968
862	33145	38450
1032	33222	36325
804	33030	36423
774	32949	36787
776	33080	36534
1237	33379	36323
866	33010	38037
850	33002	35029
793	33117	35583
755	33108	37231
1128	33352	36715
853	33036	36830
826	32960	37248
797	32969	35132
790	32971	35500
1657	33837	36537
836	33002	36449
795	32958	36605
768	32968	38580
1061	33230	36360
831	33067	35567
800	33002	38814
810	33010	35729
865	33066	35645
1042	33251	38021
824	32983	37304
789	32989	36730
795	33047	37095
778	32980	36101
1091	33159	37312
824	33286	35447
794	32910	35753
832	33045	35537
1057	33185	38120
842	33052	37193
796	32920	35810
913	33115	36584
766	32970	37284
1110	33189	37509
865	33045	35756
802	32990	35132
848	32993	35839
824	32918	37897
1139	33360	35583
841	33078	37740
850	32974	35831
736	32929	35109
1011	33357	37915
960	33179	37744
767	32978	37348
808	33001	35174
746	32899	37830
1128	33433	35694
859	32999	37503
811	32998	36831
793	32908	37075
784	33086	36463
1066	33216	37283
834	32986	37401
805	33001	37861
971	33200	37277
1786	33699	36934
1427	33491	37921
790	33034	37947
813	32979	37993
752	33029	36119
1676	33714	37616
795	32948	37008
777	32930	36970
767	32908	36024
770	32943	37457
1067	33326	38300
891	33054	35571
828	32952	35476
796	33010	37366
1763	33830	36596
1531	33567	37153
1372	33406	38279
809	33038	36839
812	33006	37016
1072	33262	35126
863	33082	36783
787	32964	35054
928	32968	35450
1077	33330	37103
861	33013	38653
822	33060	36314
797	33019	35120
773	32957	38265
1081	33274	38298
1641	33114	36277
748	32953	35847
759	32973	36605
782	32985	36430
1825	33277	35465
816	33023	35473
767	32971	37944
790	32969	36181
1821	33203	38003
857	32968	38047
771	32985	36741
793	32912	35084
792	32980	37862
1376	33589	37273
839	33062	35499
886	33003	36100
774	33058	37747
743	32895	38760
1643	33619	37543
827	32983	36957
773	33039	36469
814	33079	38277
1230	33407	37422
860	33080	36834
753	33012	41880
774	32937	38268
813	33033	35693
