before wait	after wait
17522	1.00946e+06
7485	1.10614e+06
7283	1.08945e+06
7511	1.08854e+06
7880	1.08139e+06
7321	1.09119e+06
10170	1.20284e+06
9702	1.32516e+06
10762	1.30127e+06
10328	1.2877e+06
10820	1.33218e+06
10558	1.21179e+06
9638	1.16935e+06
10166	1.16381e+06
9490	961433
10284	910265
10064	919923
9953	936275
7332	934410
6921	899990
6838	898008
6893	967211
6931	891587
6810	898655
9907	918219
9554	927502
9854	902148
6713	879841
6694	884100
6781	886503
6834	890660
6860	886234
6925	890637
9358	922292
9565	918334
10198	928447
6865	900409
6777	905009
6745	900493
6775	901941
6777	918634
10266	922956
6763	903706
10007	919268
11058	919618
7578	892534
6816	889766
6825	886717
6650	886429
6885	892252
10161	915812
6843	876102
10714	917174
10174	901133
7247	882785
7270	914045
7450	899158
7256	907870
7317	903379
10951	935542
7630	899110
10905	916986
10827	920664
9645	922058
6858	907047
6894	905298
6877	875547
9996	910707
6807	883692
6789	883171
9781	913014
10254	924673
6872	891528
6822	886315
6897	901496
7041	889056
10083	925097
6899	904152
6924	923678
10296	922781
10077	921615
6892	886581
6848	899070
6722	902693
6797	897937
10083	943791
6939	885429
6820	902993
9865	926595
9423	930817
10079	909293
6926	883185
6861	888138
6868	894351
7036	887906
6870	886562
6914	896913
10594	903098
10081	923712
10047	919403
10169	996258
7024	899887
6838	900236
6788	906269
6780	913297
7051	907785
6779	902370
9754	924158
9849	914298
10298	904093
6851	888326
6942	883141
8473	899652
6884	884809
6900	888890
6902	883039
9980	923853
10014	920012
6896	905046
6743	917759
10196	928226
6818	899151
6776	896980
6867	923567
7067	903243
10936	927780
10751	933625
8947	887166
7364	878452
7395	877038
7374	865520
7829	881565
7334	877289
10825	909311
10692	932922
10540	909181
7359	888226
7233	880276
7430	916701
7570	901877
7245	907364
7264	900144
10682	927036
10871	924797
10022	917202
10045	907308
10009	924992
6762	908706
6713	879359
6820	888855
6961	883923
6784	877215
6721	898110
9792	916640
9994	920236
9765	910402
6719	884789
6778	899796
6938	901011
6797	904880
6698	905674
6302	910176
6797	903657
6907	900743
6956	2.49676e+06
10325	980141
6871	900276
6767	894155
6852	892313
6757	894155
10417	934191
10501	911796
6799	887078
6801	902043
10613	928239
6859	893209
6819	901306
6859	896370
9251	891088
11394	923392
6817	900366
6840	904154
11247	926862
6801	897174
6799	902375
6842	896883
6965	899952
11285	917214
11057	919409
6894	901180
6943	884429
11034	917513
6916	880382
8216	887354
6837	879706
6882	904257
11089	915210
6784	897010
6809	901816
6752	900229
6759	916716
11427	922338
6753	907021
6717	898781
6886	908258
10924	924114
6787	884262
6827	892786
10411	912834
6985	900427
10394	903981
6924	868755
7547	911446
6828	879731
6845	880765
6837	874633
6840	908786
6812	895938
6724	900735
6701	908620
6922	898984
10704	920670
10539	920415
10640	946748
7535	899097
7391	897981
6848	892989
6901	891607
7042	886245
6870	890321
10676	901467
11649	911792
7374	889316
7353	888509
7300	879849
6732	889297
6830	895894
6776	904364
10594	942112
11668	929189
11348	922959
7299	893053
7399	913453
7510	908700
7368	896812
7400	897382
6423	899260
7445	898786
7384	904957
7344	884809
8771	891566
7345	887887
7281	879446
7299	899538
7537	903266
10741	929318
10580	912058
10551	929105
7001	883485
6854	883654
7471	886196
7347	928712
7492	902725
7324	907157
11255	937351
10261	922651
10790	929057
6898	901076
6826	899818
6746	905502
6883	904499
6797	905311
10082	918259
