initiation_duration_nsec	write_duration_nsec	fsync_duration_nsec
9700	80448	933644
13673	70775	860822
13440	70468	1414307
7600	66838	925997
13576	73588	853745
13597	73765	835610
8270	67791	795991
6936	66485	850036
14043	75728	861359
13713	73484	846396
13623	70452	823514
8110	64828	1766700
13493	113064	1106775
13536	70771	868539
7833	64514	812967
5593	62508	940433
13250	74021	878465
13680	73674	872648
13623	73461	868205
12539	72978	872582
13567	73422	2384193
13753	115827	965169
12503	72658	834966
13137	76465	871419
13556	70628	854639
13633	70878	870385
13626	70588	890238
13682	70688	941156
12886	76191	856675
12473	70462	851373
13573	70504	1050980
13573	70344	1063126
13147	74938	905545
13437	74415	911304
13510	73515	868779
13630	73502	1462659
14036	78754	911744
13463	74498	885505
13610	73465	870185
13637	73675	962573
13563	75065	876782
12250	73425	2004220
13559	73498	857506
13607	108091	917408
13690	77122	861559
13450	74678	876279
13437	73442	861383
13583	70791	1069553
13563	120863	1102548
13286	119513	1085639
13343	70535	2000750
13909	76601	876105
12529	73134	857572
13606	73358	865465
13606	73655	840816
10497	70215	1054204
13369	73464	879185
13576	73348	922944
13573	73788	1400971
13879	77378	1622514
13473	74404	874198
12446	72198	862116
13580	70022	895808
13813	76165	876692
13603	73331	896251
13667	73595	864746
13573	73505	912917
12797	71568	2104147
13623	73561	889025
13623	73432	861993
13090	74872	867036
13616	73581	881265
13606	73571	1087379
13569	73504	877945
13579	72894	922877
13873	72997	870838
12556	69701	2157619
13473	98347	1026514
12723	71738	869299
13613	70492	866289
13646	70718	1086205
13647	70662	883639
13800	73275	1084403
13503	70325	1984504
13449	110990	1695705
10703	85851	874681
7176	66905	817577
5493	65028	965159
7486	70491	851842
13472	74374	883824
13530	72971	886972
13653	73482	2100417
13830	73125	859999
12569	69488	864892
13559	70454	858958
13596	70184	887878
13253	72605	899184
13489	74374	886038
13379	73344	968982
13553	73628	2315451
13683	107233	924687
13543	77545	874825
12543	72385	832593
12266	75274	890728
13557	76132	1003435
13466	70551	875091
13613	70704	852932
13556	70715	970449
13847	72968	872506
13657	70462	2108040
13637	70852	945980
12833	80264	878875
12493	72401	988609
13556	73984	865292
13646	73388	832429
12630	73171	877925
13366	74348	980582
13540	73641	2041812
12866	76844	995565
13480	74401	879145
12463	72198	1009167
13623	73622	869706
13547	73065	890879
13870	76072	863813
13636	70704	851092
13520	70468	962316
13676	70824	2170205
13853	73154	892691
13616	82957	997248
13669	71044	944076
12793	75958	857996
13427	73841	867746
13670	73615	853413
13593	73658	941853
13323	80651	2131446
13249	119839	1029847
13413	77441	905308
12876	76514	886911
13556	74758	872998
12433	69724	864292
13639	70798	865372
13663	70894	935383
13820	77471	868666
13486	75071	869879
13510	71148	851466
12556	69541	861722
12350	70385	893594
13523	73625	2131003
13469	115290	959442
12759	75544	867612
13617	73508	864712
13543	74391	879501
13543	73484	863115
12533	72511	944023
13153	73868	1058567
13599	73681	2218053
13660	73965	916811
13873	76221	862172
13630	73661	853159
13606	73801	859452
13606	73474	826939
13429	73071	860862
12463	72748	1067926
13610	73908	871582
13396	73301	844969
