elapsed_after_write_registered_nsec	elapsed_after_write_completed_nsec	elapsed_after_fsync_registered_nsec	elapsed_after_fsync_completed_nsec	non_blocking_time_nsec
12923	70061	79794	1114751	21983
13056	47329	57355	992098	22442
12976	42129	52152	896014	22419
7236	53762	61781	1040893	14939
13166	62178	72491	983595	22873
13043	46212	56358	2147641	22556
13059	41668	51602	1083732	22420
13043	61568	71821	1191996	22652
13053	60368	70798	1096519	22846
13010	47899	58102	2370939	22597
13140	62299	72652	1006568	22836
13060	59938	70038	1074143	22526
7196	54375	62398	972155	14875
13063	62258	72431	1129091	22593
13013	60205	70344	956699	22512
13076	60488	70575	1065053	22529
7284	54235	62212	970562	14927
13129	62821	73071	1069869	22722
13086	59975	70065	964656	22546
13077	60289	70295	1026227	22436
7277	53429	61405	931960	14906
13056	62462	72225	1165770	22212
13066	60355	70664	971708	22769
13016	60192	70341	1054003	22529
12826	65545	76238	2296547	22850
12983	61078	71385	1151180	22633
12916	61031	71468	972645	22673
13003	63925	74178	1097152	22589
12933	61701	72248	1124008	22820
13039	61308	71481	1083519	22542
14040	61395	71755	1009571	23740
13053	63272	73865	1082409	22966
14053	73574	84027	1023217	23832
14193	62852	73048	1070130	23715
14130	76855	87581	973569	24179
13017	63735	74058	1054937	22700
13080	60638	70955	1020347	22753
13026	59921	70174	1035956	22656
12877	63309	74522	1052823	23363
12943	61169	71665	2155555	22769
14207	63112	73625	880475	24053
12883	63531	73734	1096091	22356
13009	62001	72684	966332	23032
12996	61158	71551	1094265	22723
12986	60124	70371	1000894	22577
12899	63551	73967	1189739	22652
12907	62182	72615	1919149	22673
13063	61539	71972	1095692	22843
12906	63378	73881	963952	22793
13113	60842	71101	1068556	22726
13106	60455	70685	960356	22696
13149	60665	71031	1095642	22889
13060	63992	74405	1115728	22803
13113	61758	72215	2075134	22910
13090	61418	71768	1036263	22786
13023	63658	74148	1076755	22843
13057	61249	71745	953920	22890
13082	61158	71534	1090815	22792
13406	65148	75767	979988	23365
13130	60918	70938	1594324	22526
13156	60158	70335	1048070	22712
13073	60355	70441	1066756	22529
13093	63462	73801	1055166	22762
13063	60681	71078	1101481	22800
13076	70698	81041	1056369	22753
13197	79708	90551	1127971	23333
12977	62878	73298	972919	22713
12983	61192	71601	1787319	22735
12973	61172	71322	969166	22456
14216	64565	74908	1056940	23882
14197	62319	72742	951096	23947
13057	61132	71418	1020601	22673
13086	59981	70184	932283	22632
13026	63394	73657	1057442	22609
12910	61181	71681	1464738	22750
12950	60555	70898	1777052	22636
13136	62878	73278	962319	22873
13200	60545	70798	1068906	22810
13183	60235	70452	914077	22763
12926	63655	74145	1105442	22783
13056	62061	72418	963425	22753
13063	61315	71771	1579138	22862
13116	60085	70171	1751313	22573
12947	63242	73612	1096306	22654
12983	61189	71512	962709	22636
12959	61135	71394	1087385	22562
12956	64058	74504	969112	22726
12960	61018	71521	1105751	22796
12953	61242	71445	2241152	22496
14270	65038	75495	1286433	24089
13096	61264	71534	950509	22753
13173	60382	70775	988932	22923
12880	64191	74681	961376	22676
14216	62915	73558	1041450	24186
14126	62032	72408	964999	23826
13180	60099	70072	2297671	22506
13063	75535	85934	1110048	22802
12970	62188	72488	1136397	22613
13030	61195	71665	953676	22830
12980	62755	72941	1074222	22526
13030	60225	70465	956819	22627
13170	60179	70492	1077739	22850
13109	59991	70101	2405244	22549
13066	62885	73348	1162646	22853
13026	61462	71848	999495	22756
13043	64208	74594	1107881	22813
13113	60022	70361	951279	22832
13079	60428	70721	1074509	22746
13040	60135	70268	948576	22556
13016	64345	74581	1081672	22576
12920	61621	72161	955212	22800
13086	60351	70591	1273326	22657
13079	60075	70248	1209808	22576
12996	63021	73414	1219378	22726
12990	61215	72798	967716	23906
12966	60988	71301	1019841	22612
12813	63475	73691	965776	22369
13090	61302	71692	1548559	22813
13056	61802	72218	1007824	22812
13060	61565	71882	1087543	22723
13140	62795	73042	1203903	22723
13073	60629	71075	1243871	22853
13017	60808	71082	998842	22624
12940	62198	72511	1080306	22629
13053	59635	69828	938483	22602
13170	60408	70718	1081336	22839
13040	60072	70175	2160075	22513
13057	63169	73648	1136184	22866
13066	71738	82144	1122614	22816
13047	61469	72052	1088359	22974
13003	63828	74355	956506	22853
13037	61055	71168	1056623	22493
13026	61455	71801	1000164	22712
12913	78255	88855	1097272	22860
13167	60305	70615	2136675	22833
13223	60265	70308	1216098	22623
12913	64375	74925	991072	22786
12936	60925	71325	1098132	22676
13043	61132	71545	950843	22800
13210	60565	70841	1093252	22846
12873	63861	74307	956885	22652
12970	62198	72565	1093639	22677
13070	61398	71675	964919	22690
13156	60445	70665	1202619	22746
13056	64141	74587	972415	22835
12996	62071	72501	2352682	22766
12977	63752	74155	1012914	22737
13147	61725	72192	1088912	22944
13260	60405	70545	938293	22769
14203	61375	71758	984672	23950
12699	63465	73648	1102745	22205
14333	62981	73444	1087382	24116
14153	62232	72581	940333	23832
13139	60011	71514	1075685	24005
12976	65341	75784	956366	22775
12996	62641	72971	1081398	22666
13059	61438	71818	995971	22783
13080	60612	71015	2332229	22823
13030	64212	74792	1030944	22930
12969	61838	72134	1112054	22600
13083	88128	102371	1028037	26369
13056	62541	72651	1077015	22503
13160	60412	70632	950973	22750
13133	60425	70515	1052273	22596
13190	65392	75501	960496	22643
14079	63088	73648	1044826	23986
14130	61752	72111	1135757	23819
13103	59832	69985	1440065	22633
13016	64115	74515	957096	22753
13103	62188	72618	1069772	22873
13043	61052	71341	946426	22676
13123	60722	70975	1080163	22756
13040	64288	74685	967446	22773
13033	61948	72334	1042196	22759
13059	62048	72478	1851650	22829
14253	63678	74238	1112908	24166
13040	60835	71148	951349	22716
14199	61641	71798	1088485	23726
13119	60381	70494	986641	22612
14133	64308	74675	1067503	23826
14213	62309	72875	956246	24106
12970	60555	72095	1111785	23840
14157	60085	70222	2061368	23610
12989	63248	73731	1100131	22833
14153	62082	72365	972466	23799
13536	65708	75914	1115611	23086
14233	61618	71815	943333	23799
13102	60251	70414	1094971	22628
13130	60949	71192	1520353	22759
13019	64338	74798	1829847	22822
13043	61028	71274	991001	22632
13153	61345	71685	1085759	22836
12969	75464	86031	1024427	22869
13023	61801	72181	1105545	22770
13003	61445	71818	956576	22739
13070	60328	70588	2307524	22673
12980	62955	73211	1197946	22556
13097	61332	71625	1063923	22720
13120	64209	74372	986679	22637
12983	60055	70305	1071053	22563
13157	60515	70872	969833	22883
13146	60318	70515	1100852	22699
13073	64795	75288	2278095	22889
12983	60855	71271	1219875	22720
13050	78965	89695	997785	23123
13083	60748	71052	1085212	22747
13116	60271	70548	959965	22759
13193	60498	70731	1024317	22797
12959	64665	74831	974452	22499
12966	62012	72441	2183657	22729
13106	61435	71768	901864	22766
12799	63238	73498	1134027	22409
13026	61991	72371	968139	22726
13109	61341	71614	1093621	22722
13017	60279	70445	890571	22524
11120	61712	71665	1116895	20400
13080	60578	70665	2162078	22523
13133	60832	71075	1098279	22745
12983	63435	73752	1019731	22640
13126	61098	71318	1088309	22702
13186	60591	70874	969648	22835
13220	60249	70448	1068633	22776
13063	62999	73205	1199516	22596
13013	61162	71608	2115933	22799
13023	74587	85577	1032000	23380
13230	60122	70328	1196113	22785
13097	60525	70805	963199	22740
13063	60341	70498	1073985	22581
12940	63611	73994	960372	22646
12986	62035	72428	2262985	22719
13113	62309	72765	991225	22909
12963	64165	74594	1104718	22706
12936	62082	72458	1049780	22642
12993	62625	73191	1104061	22899
14120	60712	70835	958866	23537
12962	63134	74504	1075488	23662
12987	62332	72845	2200650	22833
13067	64062	74548	1225445	22910
12966	61305	71708	955882	22693
13123	60665	70788	1177113	22603
13100	60252	70512	966463	22720
12959	64251	74434	1096281	22465
13000	61855	72252	1032751	22730
13026	61295	71621	2503801	22692
12977	63438	73695	1024767	22557
12996	62255	72545	1108755	22623
13006	61302	71671	1207622	22708
13096	63751	74377	1136817	23075
13219	61008	71281	964079	22842
13083	60132	70385	1087089	22690
13133	60402	70662	958833	22773
13026	62858	73148	1526259	22670
13033	61205	71468	963775	22654
13026	61375	71645	995592	22649
12933	63608	73971	1000108	22609
13050	61282	71495	1094702	22626
12907	71335	81505	1015245	22433
13036	60511	70821	992505	22705
12796	64108	74384	956119	22362
12912	62931	73404	1075069	22759
14133	62375	72754	969445	23860
13003	59728	69668	1538462	22293
12996	64255	74814	1714601	22899
14243	63238	73711	1056889	24043
13120	61435	71935	951376	22986
13153	64508	75664	1056822	23666
13120	61768	72751	951269	23492
13200	60102	70145	1047080	22606
13079	60328	70397	975948	22545
13070	64312	74678	1050360	22766
12936	61558	71894	980355	22612
13040	60185	70581	1057410	22786
13030	59932	69898	2184264	22372
13020	63322	73771	1119825	22826
12996	61012	72431	972505	23748
13023	77004	87517	1107398	22876
13096	62782	73205	971692	22896
13236	60518	70554	1097228	22643
13100	60305	70662	931587	22839
12930	63652	74148	2373322	22756
13006	60525	70794	961332	22612
13056	61208	71498	1093255	22666
14250	65325	75738	979152	24006
13020	62682	73328	1087636	22996
14120	62255	72571	953619	23763
12976	60234	70524	1268546	22586
13103	64795	75114	2028915	22759
13040	61681	71918	1089669	22610
12999	93373	103940	1053222	22909
13019	62601	73038	1056969	22789
13123	60212	70395	934423	22666
14226	61705	72045	1055563	23920
13040	64875	75038	1207332	22545
12953	61645	72075	1573442	22726
12959	60688	71074	990478	22685
13176	59845	70042	1057023	22706
13000	63755	74148	955782	22723
13000	61531	71881	1057223	22690
12940	60925	71165	1055640	22510
13013	77472	88145	1119618	23023
13067	60562	70832	1846521	22694
13059	60431	70641	1068759	22649
13356	66911	77321	986621	23083
12983	61958	72378	1061759	22767
13077	61158	71635	940940	22913
13073	60318	70608	1006614	22729
13276	65101	75741	968105	23266
12953	61318	71714	1062239	22693
13136	61152	71538	1033207	22885
13136	61151	71414	1041956	22743
12896	63722	74248	991575	22772
12970	60792	71225	1101458	22743
13060	61392	71718	1009221	22749
12939	60661	71064	997798	22712
12716	63991	74361	970355	22436
12966	61472	71358	1106335	22209
13079	61171	71621	2193290	22872
12996	62958	73288	1102652	22689
13127	60482	70705	1102739	22713
13000	60412	70555	1084699	22510
13023	70148	80114	1170566	22313
13126	62818	73114	1065969	22749
12953	61329	71805	2295871	22759
12950	63142	72981	1149634	22163
13050	59585	69935	951800	22756
13167	60432	70535	1061920	22637
13156	60595	70891	964119	22815
12969	64131	74488	1092901	22666
12976	61731	72268	972188	22853
13029	60208	70641	2491754	22789
14256	64611	75031	1004537	24006
13066	63038	73421	1094422	22789
14089	62268	72604	919856	23746
12983	63048	73201	1083942	22499
13096	60931	71298	956166	22819
13129	60018	70124	1077692	22589
13073	60272	70565	976905	22739
12877	63875	73892	1605174	22207
13106	61374	71891	1130927	22963
13056	59938	69931	1042133	22379
13327	64822	75141	958366	22973
13066	61191	71458	1047906	22670
12979	61715	72138	952772	22722
13107	61252	71592	1035037	22780
13106	63715	74034	1002441	22769
13047	60842	71045	1045680	22573
12966	60472	70948	2147572	22766
12899	64121	74481	1093885	22625
13073	60029	70318	946263	22719
13063	60258	70438	1061002	22610
13240	60268	70618	904084	22959
12766	49675	60078	1035326	22537
12926	72628	82967	1004964	22605
13029	60621	70968	1073489	22722
13146	60448	70651	2236619	22702
13076	63592	73968	1085519	22792
13139	61981	72344	953556	22842
13073	61261	71481	1038963	22636
13070	63211	73684	1066969	22883
12993	60851	71508	1068046	22983
13003	61265	71691	959952	22776
12926	60015	70041	1472118	22225
13089	63911	74288	1718634	22789
12986	61478	71824	1078325	22659
13060	64318	74558	971422	22663
12972	60178	70454	1062379	22562
13100	60549	70792	956033	22703
13073	60332	70612	993845	22713
12830	63345	73928	976015	22700
13093	63052	73355	1091149	22740
14136	63105	73461	969872	23822
13106	60208	70441	1033334	22702
12977	63832	74128	2254559	22629
13067	61409	71672	1131175	22670
13056	61128	71364	970752	22626
12963	63245	73618	1098911	22696
13073	60885	71235	953072	22793
13110	60718	71021	1093912	22759
13149	60241	70471	1016124	22759
13053	63831	74334	2220546	22859
13037	61222	71592	973376	22753
12940	75058	85851	1082869	23046
13090	62462	72818	954853	22806
13210	61025	71168	1060930	22716
13163	70771	81057	988708	22812
13370	65372	75681	1151087	23036
13016	61061	71308	1568488	22623
13080	61642	72178	1071723	22979
13143	60011	70034	980841	22523
13016	63451	73724	1058463	22636
12919	61321	71671	1003124	22645
12967	60569	70985	1054940	22740
13093	78671	89294	978165	23083
13090	63669	74122	1821005	22873
13033	60732	71142	1062653	22783
13053	60431	70648	1108671	22634
13049	62708	73068	1064876	22729
13007	60829	70992	1059930	22536
12953	61772	72255	954536	22802
13410	64842	75948	1062430	23876
13170	61265	71511	953249	22779
13133	60392	70835	1618547	22936
13179	59858	69948	973292	22630
13047	63732	73898	1040830	22530
13053	61595	71882	949173	22673
12930	60192	70655	1036877	22723
13230	60595	70785	948043	22776
13003	62802	73132	1057656	22680
13109	61481	71841	970692	22809
13037	60935	70965	1931945	22423
12979	64435	74631	974455	22535
13020	61665	72302	1073306	22997
13043	61405	71852	954466	22826
13036	60485	70891	1094298	22772
13083	64405	74795	963449	22800
13070	62349	72575	1101385	22620
13083	71378	81624	2153378	22666
13077	63455	73888	1075810	22843
12973	61085	71502	968273	22713
13119	61511	71904	1069886	22852
13406	62981	73324	968015	23099
13086	60365	70568	1043427	22649
13063	59912	69952	1010905	22473
13063	60775	71041	2164818	22686
13033	63685	74055	979785	22720
13009	47538	57532	997861	22416
12939	47222	57301	881334	22368
12947	47586	57559	1058483	22334
13066	60341	70681	946103	22759
13179	60471	70581	1084798	22653
13083	60515	70695	2294247	22633
13033	63625	74014	1185632	22766
13083	61451	71951	964012	22923
13116	60595	70955	1023957	22809
13033	63865	74114	953416	22596
14120	62585	72928	1024974	23786
13079	48445	58445	910590	22490
13013	46722	56385	1023367	22093
13060	63542	73941	950479	22809
13053	59985	69882	1028671	22327
13133	60075	69935	986739	22389
13093	60115	69828	1080426	22192
13020	63482	73748	1055590	22620
12973	61325	71675	1149757	22663
13003	60865	71242	949446	22723
13183	59398	69338	1016637	22514
12980	63308	73755	958103	22766
12996	61144	71011	2152754	22206
12947	77701	88241	1064646	22833
13133	60602	70681	1110121	22566
13173	60485	70735	950966	22779
13086	60508	70905	954599	22839
12853	63748	74125	2242149	22583
12980	61422	71728	1114255	22620
13063	61828	72308	1071529	22879
13013	63989	74355	1097455	22713
12976	61822	72305	964949	22803
12963	61419	71722	1065026	22600
13120	60445	70805	987175	22830
