elapsed_after_write_registered_nsec	elapsed_after_write_completed_nsec	elapsed_after_fsync_registered_nsec	elapsed_after_fsync_completed_nsec	non_blocking_time_nsec
10612	97663	106752	1908460	19086
13266	63562	73988	946638	23079
9226	60444	69870	1058898	18123
9380	50516	59252	882939	17574
6071	54184	61301	952741	12880
9200	51981	60644	985693	17300
9402	59515	68395	1087882	17693
9408	50442	59233	915991	17640
6577	57093	64358	1023477	13556
9454	52616	61261	881313	17574
9243	58798	67492	973173	17423
9374	50267	58632	889464	17216
5954	55227	62198	1006611	12636
9471	52496	61572	927148	18002
9234	59401	67947	944230	17243
9374	50119	58690	929912	17394
6117	54038	61072	911141	12854
9160	52564	61278	1676065	17380
13126	71148	81441	1229387	22822
9403	50850	59750	947850	17743
11586	65201	73930	2173956	19737
12228	59906	69600	1010915	21370
11000	61650	70630	1003672	19471
11114	55139	64021	1068028	19484
11006	61278	70290	1199573	19523
11154	52830	61630	991594	19443
11094	61547	70501	1018837	19542
11079	55124	64006	924986	19401
11002	61861	70692	1128926	19308
11083	52693	61593	943682	19469
11094	61118	70041	1062226	19509
11146	55067	64141	930292	19665
25445	72887	81176	1113751	33177
11149	52885	61679	2026776	19418
25493	90131	100594	1033045	35364
11068	52464	61175	936013	19259
11154	61379	70310	983594	19548
11046	52659	61444	958236	19310
11226	63950	72827	2142861	19571
11117	53010	61929	947944	19513
11134	60999	69713	1018794	19359
11108	54393	63270	958155	19466
12051	62187	71007	988420	20347
11088	53744	62546	942641	19367
11116	60446	69163	961229	19327
11088	54459	63310	2107885	19422
25333	91888	102197	1044670	35030
11146	52659	61470	940559	19437
11209	63053	71810	1124782	19431
11137	51830	60579	938335	19388
11103	60327	69038	988613	19319
11200	51807	60313	943473	19174
13316	80024	90287	2223595	22969
13336	68474	78801	1025764	23070
11162	64815	73761	1007985	19565
11194	52007	60712	923899	19394
11157	60367	68967	1102020	19242
11257	51687	60267	896394	19316
11057	65064	74084	1101826	19531
11000	53247	62238	1630662	19445
11025	61106	69966	1653159	19371
11146	55230	64044	946169	19440
11157	62078	70947	972824	19511
11054	39625	48127	971267	19076
11037	43244	52273	899494	19526
11040	39931	48585	881715	19148
11051	45245	54030	915914	19296
11065	39507	48158	963881	19196
11031	40296	48784	1004922	19017
26428	56018	64724	906047	34622
10980	44139	52738	1049450	19068
11037	38882	47599	864215	19237
11048	40982	49579	2420371	19134
13150	63082	73075	1087098	22536
10991	53041	61930	1022485	19363
11091	39885	48370	911202	19096
11137	64798	73692	1045918	19503
11223	51862	60653	954279	19502
11239	61406	70055	1194960	19371
11185	51961	60672	1116513	19399
11086	64510	73307	1145566	19360
12048	53267	62232	940557	20497
11112	60473	69427	1462844	19548
8508	52204	60624	998371	16434
11157	62327	71158	1094820	19462
11191	52596	61518	924099	19588
11066	60144	68981	1055141	19400
11116	55081	64063	1073529	19584
11142	61821	70775	1121910	19580
11094	52573	61432	1083749	19436
11117	60453	69372	1041854	19525
11174	55361	64095	949591	19377
11197	62198	70929	1053612	19416
11143	52787	61633	948233	19466
11134	60675	69509	2330902	19464
13056	63382	73545	1186545	22616
11149	60604	69593	1072790	19623
11183	55444	64267	946853	19474
11051	60236	68987	1116658	19291
11131	51967	60670	1047500	19345
11231	60515	69321	1058666	19532
11126	54950	64007	966412	19651
11151	62310	71081	2338999	19394
11102	52718	61509	1010522	19373
11129	63427	72298	1153103	19474
11134	52502	61547	1051794	19662
11146	61656	70613	1143023	19578
13399	65034	75487	963289	23239
13143	71222	81375	1037547	22686
13160	60485	70658	959402	22743
13073	70328	80514	974628	22670
12813	64078	74408	1617600	22539
13046	71991	82400	1058502	22846
12936	61551	72095	962372	22853
13110	70545	80798	1006511	22767
12950	63641	74181	971842	22863
12959	71548	81891	1023434	22690
12953	61372	71678	944313	22659
13140	71848	81701	1052940	22413
12963	63535	74148	1771499	22946
12929	70918	81264	1029174	22669
12933	61305	71468	952519	22473
12989	74188	85387	981841	23569
12980	60411	70671	952292	22636
13066	70224	80314	1028280	22569
13026	60261	70288	952916	22483
13006	74954	85777	1698297	23229
13026	61354	71891	1098348	22963
14060	60595	70965	968369	23817
12763	47692	59118	952089	23542
12990	71605	81925	1004545	22700
12876	46048	55695	877774	21963
12880	49445	59482	1057799	22317
12973	48202	58625	904687	22809
12846	52078	62108	1047793	22270
12887	45962	56079	2190000	22403
13079	73234	83264	1061096	22493
13120	60942	71055	925367	22629
12966	56052	66071	1100982	22388
12936	43426	53265	931030	22235
13026	76448	86764	1065373	22725
12940	61808	72261	958896	22769
13009	71671	81851	2407124	22583
13056	64858	75327	990448	22892
13080	72631	83014	1029100	22846
12987	61795	72121	961506	22686
12976	69831	80044	1029810	22582
12943	63698	74061	950336	22676
13033	71645	82054	1074292	22833
13029	61885	72368	2219593	22913
13006	74298	85208	1210089	23303
13073	60822	70951	955393	22635
13093	71304	81548	1012607	22730
12940	64108	74448	945846	22694
12970	72768	83428	1171530	23019
13033	61812	72205	1042777	22827
13163	70975	81074	2085823	22676
13049	63955	74221	1107911	22715
13030	71841	82248	1175479	22840
12996	61178	71641	933166	22813
13023	73834	84291	1033933	22876
13043	61912	72295	955476	22796
13027	71665	81978	1122258	22687
13106	77224	87910	1986669	23155
13160	74048	84298	1198273	22812
13109	60435	70414	1105551	22485
13140	74948	85324	1134004	22907
14102	62634	73087	955935	23962
13080	71278	81635	1120498	22830
14206	61625	71808	1472528	23812
12983	74921	85311	1766342	22770
12953	62042	72408	1146437	22716
13036	70865	81254	1193109	22792
13040	63135	73388	942833	22666
13123	70931	81011	1048776	22609
13056	60741	70808	947036	22546
13163	76288	86937	2240729	23219
13056	62592	72971	992855	22832
13043	71502	82088	1205799	22989
13050	64492	74875	987372	22830
13073	72688	83241	1028624	23015
13083	61712	71931	954249	22676
13047	70975	81411	1015671	22879
13016	64868	75064	2155484	22602
12953	72645	83281	1053270	22962
13030	61815	72325	1029390	22940
13066	73948	84314	1153120	22783
13057	60722	70888	956676	22642
13073	70718	80971	1144717	22750
12856	65105	75208	983785	22355
13066	72578	82818	2188137	22696
13017	61952	72228	926390	22689
12810	75828	86044	1026784	22417
13096	62581	73024	1076912	22929
12906	71674	82227	1020943	22819
13040	60918	71322	931040	22853
12663	74998	85271	1147220	22349
12823	62202	72435	2202487	22456
13093	71425	81474	1026477	22539
13067	62895	73102	986309	22660
13049	76064	86267	1148174	22672
13143	60971	71074	955619	22662
13130	70155	80298	1029280	22690
13033	63985	74264	956669	22709
13026	72698	83111	2223572	22840
12960	77772	88495	1164340	23086
13030	70102	80308	1088189	22643
13096	61168	71258	953873	22605
13116	70367	80667	956009	22836
12809	64048	74254	966095	22389
13046	72038	82544	1036003	22906
12969	60731	71198	2156028	22853
13173	75525	85721	1275110	22772
12943	61829	72185	945443	22709
13020	72031	82191	1034070	22580
13080	61022	71131	1066876	22613
13016	75307	85760	1136663	22872
12989	62524	72701	983285	22576
13043	71778	82187	2191697	22853
13130	64098	74445	968582	22826
13176	72344	83311	1054079	23549
13057	60622	70905	939283	22737
12696	75494	86194	1176539	22803
13183	61655	71908	978579	22843
13113	71221	81444	1080872	22746
13180	60925	70828	2225113	22503
13029	75908	86957	1033840	23439
12996	62365	72664	946303	22703
13040	70882	81225	1017494	22793
13053	64892	75221	964003	22792
13053	72414	82721	1037400	22753
12986	61718	72308	952779	22976
13039	70907	81364	2245515	22903
13056	64258	74674	961206	22855
13143	73808	84274	1174209	23000
13089	61321	71841	1044460	23016
13253	74545	84771	1024331	22869
13267	60969	71195	1104445	22887
13246	71461	81711	1072136	22899
12783	64098	74298	2271681	22407
13043	72165	82648	1174830	22933
14253	65858	76181	973752	23975
13133	76602	87661	1025958	23569
13113	63511	73644	950446	22646
13096	71771	82107	1087725	22836
13143	61162	71308	953213	22692
13033	74654	84624	2231056	22406
13033	62618	72958	962116	22769
13099	71864	82187	1057176	22831
13099	63018	73194	973112	22635
13116	70725	80711	1006128	22533
13143	60689	70925	949063	22789
13056	70311	80604	1084029	22748
13076	63651	74038	2285718	22859
13076	72008	83571	1151430	24037
14300	63418	73565	966502	23830
13299	73011	83364	1007961	23045
12957	45729	55696	889991	22377
13126	49095	59365	972082	22792
12813	46719	56832	1006298	22349
12903	52732	63142	948709	22707
12943	46769	56848	880835	22463
13136	48209	58185	925590	22516
12849	48912	58928	921877	22282
12836	53062	63255	1174893	22433
12910	45792	55842	902451	22354
12823	47832	57892	971576	22286
13020	49745	59868	1541946	22520
13103	72854	83194	1150573	22840
13077	61995	72395	982642	22870
13116	71681	81918	997261	22749
13106	63865	74208	999225	22840
13033	71915	82421	1028671	22938
13023	61668	72065	947203	22790
13150	70868	80974	1017921	22659
13133	63772	73798	1454822	22543
13086	71894	82394	1169043	22990
13120	61775	72328	1111672	23069
14352	75361	86367	2313830	24745
13246	61104	71178	997064	22733
13089	70521	80627	1145620	22626
13129	64095	74594	964642	23021
13103	71988	82271	1060063	22786
13023	61758	72151	1008531	22785
12953	75758	86351	1038210	22933
13172	61864	72054	1034586	22768
13177	70935	81148	1090692	22793
13163	60561	70628	1473754	22633
13147	75211	85598	1724867	22884
13119	62701	72964	984765	22776
13087	70938	81208	1107275	22736
13120	64835	75151	972765	22833
13139	72874	83257	1042083	22928
13129	61828	72178	959532	22869
13143	71241	81561	1069886	22874
13133	64892	75368	2159012	23009
13053	72158	82468	1053153	22763
13116	61835	72304	1126351	22979
13249	74278	84597	1048693	22962
13160	60935	71015	962402	22654
13256	71051	81161	1052153	22783
13103	65624	76167	966412	23050
13016	72514	83081	1105625	22983
13103	62145	72802	2401495	23136
13157	76728	87095	1215715	22923
13063	62825	73264	981988	22869
13106	71955	82361	1048840	22879
