elapsed_after_memcpy_nsec	elapsed_after_msync_nsec	elapsed_after_fsync_nsec
23208	257141	1443627
16993	343080	364470
14143	332399	350950
14211	285125	302327
8643	186666	197520
6820	333835	344992
14445	275884	292926
18579	184095	893820
14474	269604	287112
7391	181984	191612
6580	344327	355338
13976	268383	284730
8082	177367	187594
6759	413121	424217
14022	291346	308399
8700	186340	197246
6583	354618	365539
14243	274445	291185
18588	186581	875514
14166	266046	283158
7303	180061	189615
6188	355673	366281
14308	286988	304362
8769	329926	343032
14026	1048981	1067344
14191	327257	345785
14134	280218	296963
18802	191078	936473
14377	270687	288135
7717	184287	194266
7051	340805	352250
14051	351515	369963
14068	290979	308087
8642	750280	763259
14108	290492	307660
8600	1019570	1032579
25188	295789	991246
14439	269650	286974
7674	343590	355696
14294	1333619	1352344
13952	349324	367676
25708	281870	1000828
14513	264120	281519
7523	198606	208354
6637	340760	351734
14285	281011	298301
9002	183398	194634
6511	431043	441891
14171	290011	307188
8480	1357418	1370292
25645	345010	947667
14588	344199	363149
14071	269731	286204
8103	186366	196797
7188	349203	360728
14362	272060	288819
7546	181246	191155
6483	429480	440300
14097	303709	320808
19691	299020	1074604
14653	332342	351332
14020	327562	345919
14139	286525	303670
8617	187915	198766
6268	346391	356996
14519	287070	304684
8634	185929	196786
6789	422749	432706
7703	622656	633465
18654	1109645	1839661
14465	346442	365270
13845	331630	349872
14203	268916	285442
7839	183664	193783
6612	340305	351254
14254	262900	279593
7291	182449	192240
18363	426103	1008450
14871	368147	387415
14068	266604	283112
8268	195957	206463
6586	433616	444539
13954	274488	290871
7720	189078	199083
6523	343591	354451
14168	268479	285125
7354	189889	199489
6648	421341	430946
19476	236699	2027985
15125	332005	351527
13980	261841	278172
7979	353636	366046
14162	285159	302313
8640	183397	194209
6900	319875	329241
18108	186806	914320
14360	264821	282170
7626	186163	196063
6645	343812	354851
14031	343832	362214
13854	287592	304477
8611	334082	347030
14054	284859	301942
8771	189543	200546
6562	343741	354640
14497	267612	284664
18843	183851	959478
14191	686412	704997
13691	1161073	1179195
13971	344813	363147
14300	326927	345564
14268	284431	301073
7094	198078	207586
18039	335823	907372
14022	267257	284173
7620	341857	353814
14097	290908	308091
8477	184872	195606
6422	353279	364038
14040	330456	348824
13982	281548	298532
8694	337492	350523
14008	269124	285460
7303	196789	206646
18266	336161	913657
14151	345893	364381
13602	287708	304372
8462	186338	196997
6348	350040	360725
14120	283270	300430
8600	185129	195966
6565	430349	441251
14214	288039	305267
8628	184406	195283
6368	316097	324888
17874	184760	892076
14419	264904	282386
7031	185658	194949
7020	524696	536110
14034	333596	351959
13891	277055	293966
8820	885871	899028
13866	341273	359476
14068	275147	291875
18988	191331	781660
14314	350658	369355
13908	270474	286839
7659	181227	191225
6563	336586	347486
13940	263118	279435
7220	182791	192229
6706	430230	441273
14088	288719	305816
8688	185886	196826
6748	342138	353223
40067	260198	993062
13985	282975	300571
8599	188444	199271
6728	347445	358510
14428	283679	301127
8286	184734	195246
6640	400235	410033
8040	278798	289995
8065	268047	279295
7737	246650	256609
6352	198902	207394
5766	316379	324528
18051	437716	1031156
14388	288268	306244
8257	184521	195055
6762	348503	359602
14479	291586	309108
8637	186451	197305
6643	347964	358944
14034	288090	305133
8471	185726	196486
6349	351563	362260
14305	284886	301814
18656	192532	789809
14322	270035	287323
7765	193661	203726
6680	453279	464373
13588	282118	298714
8640	185752	196646
6492	347341	358170
13805	273604	289883
7471	183492	193134
6777	437607	448721
13688	743288	761358
25602	286564	962155
14402	293573	311561
8300	337166	349814
13648	285856	302570
8723	204037	214974
6586	343968	354892
13931	269283	285582
7397	190132	199783
6768	433612	444717
13988	268590	285155
19239	189523	773780
14534	267475	285055
7671	347098	359152
13851	285305	302153
9014	188241	199406
6809	339620	350766
13837	270516	286793
7508	181643	191428
6322	434012	444671
13623	272812	288838
7543	178392	188163
6968	308194	317617
17685	792017	1532087
14091	349113	367552
13703	282963	299709
8777	201857	212894
6588	340311	351270
14111	272781	289240
7337	337679	349353
14083	287157	304317
8403	188623	199429
18448	336028	918145
14605	344419	363372
13802	286438	303340
8669	185623	196452
6388	343653	354378
13614	290880	307577
8042	186049	196300
5997	425922	436256
13968	270978	287283
7900	181763	191871
6868	324162	333522
18051	184037	1336173
14486	294515	312613
8646	202565	213471
6309	342060	352749
13959	339815	358099
14148	282791	299947
8968	330422	343727
14286	287307	304679
8443	188526	199235
6420	323369	332269
17394	185729	928388
14045	262641	279635
7871	201614	211731
6751	348616	359761
14100	282362	299424
8771	184000	194974
6371	430549	441257
14014	281753	298781
8174	186235	196583
6312	347680	358329
14196	661150	679729
25459	1046350	1668284
14848	268681	286543
7922	182481	192680
6277	345696	356367
13742	327802	345873
13754	335490	353572
13991	259390	275732
6623	195949	205089
17942	336099	922088
14420	344784	363587
13956	283467	300454
8351	184906	195432
6369	340242	350993
13866	265625	281816
7389	189188	198749
6472	439263	450072
13951	290143	307146
8694	185420	196243
6482	311443	320387
17934	246394	980020
14419	707383	726233
13828	995817	1014028
13723	344230	362359
14191	327039	345567
13860	361369	379566
13928	347236	365501
25179	336196	910411
14626	274543	292141
7782	183215	193285
6619	434762	445775
13794	272798	288971
7500	183501	193252
6182	339831	350361
13708	282939	299719
8317	185449	196020
6143	434763	445243
13460	275705	291647
19051	187431	780796
14399	268925	286258
7725	370822	382884
13988	726779	745104
14060	973629	992026
14336	363887	382560
13651	307488	325453
25183	361495	1093492
14457	341947	360801
13699	330211	348281
14031	318591	336959
13931	321931	340199
13565	308488	326390
13936	323025	341298
14194	256747	273335
6940	194486	203620
6274	311560	320237
17408	179332	854176
6788	231917	241010
6254	248952	257395
5754	306063	316226
13411	295882	312290
8457	1483750	1496544
13823	290413	307296
7837	200328	210591
17494	343052	1060291
14280	280827	298073
7566	201037	210840
6860	344297	355577
14134	272395	288983
7879	188421	198465
6577	348133	359047
14188	289606	306820
8622	185526	196406
6228	351436	362035
14031	270083	286797
18719	183412	891597
