memcpy_duration_nsec	msync_duration_nsec
33639	398892
20603	296792
13837	277499
13353	275916
13143	266409
12973	395495
20323	330877
14386	278385
13343	268336
12929	291545
14580	307781
12942	333833
21643	238660
13039	290788
13150	219494
12836	291408
12527	25854511
29946	473780
20196	188188
13489	141822
12793	140350
21372	143136
13469	133353
12966	134259
12866	133339
12710	135003
13146	249870
12586	132713
12910	132783
12816	134383
12903	132000
12850	136413
12763	90214
12903	91088
12743	90451
12209	90314
12247	91035
12433	92050
12416	90791
12353	89944
12250	88514
12296	89581
11777	89711
11990	91087
11676	89794
12027	89778
11797	89591
11907	88688
11936	90194
12243	91281
12650	91184
12940	91408
12680	90495
12659	90450
12357	89251
12586	89601
18639	100734
13133	92011
12743	89984
13159	91174
12729	90577
12856	91847
12700	90361
12603	90341
12900	91328
12707	90568
12850	90214
12559	89087
12356	91467
12310	88934
11893	90334
11747	88521
11749	89140
12910	89977
12603	89698
13013	91791
12690	90821
13736	91761
12603	90104
12006	90310
12033	89798
12083	88957
12390	90807
12130	89487
12603	92057
12470	90228
12563	89460
12200	90794
12626	88714
12970	90104
13010	91784
12723	90791
13093	91647
12860	91297
12950	91598
12823	91194
13156	91751
13423	103991
18556	100724
13036	91217
12890	91554
12680	91941
12480	90128
12180	90428
11986	88767
12386	89744
12197	88771
12639	89511
12763	90607
12933	92681
24505	85615
7549	69545
7484	68844
7912	69484
7562	69423
7710	70306
7577	69270
7809	68996
7819	68908
7500	69255
7634	68217
7773	69512
7674	68779
7644	70248
7701	69842
7960	69541
7812	69090
7754	69238
7769	69369
7737	69581
7396	69720
7291	69049
7281	69000
7371	68703
6756	67947
6992	68470
7158	67793
7556	68678
7512	69249
7589	70297
7762	69306
7841	69230
7899	68861
7762	70248
7912	69945
7813	69364
7552	68783
7500	69091
7444	69701
7769	77363
10834	73089
8008	69966
7545	68795
7655	69044
7399	68634
7407	70331
7278	69421
7310	68543
7003	67640
7123	69015
6761	68190
7461	69674
7809	69144
7733	70440
7669	68680
7706	69192
7746	68343
7491	69083
7596	69265
7861	73316
7238	571325
