before wait	after wait	rtt
530	118613	129655
359	118420	129865
316	118375	130089
311	118345	129578
337	118400	129769
340	118382	130266
326	118347	129189
333	118368	129514
332	118430	130406
309	118407	129950
327	118384	129805
290	118364	130241
352	118401	129306
379	118377	129472
353	118430	130244
358	118419	130817
307	122252	132146
557	118600	130602
363	118424	130184
454	118425	130648
401	118438	131245
324	118374	130363
334	118418	132335
307	118476	132829
355	118446	134993
296	118377	132989
296	118350	133384
297	118374	132223
312	118397	135508
322	118374	133590
309	118413	134881
286	118370	139322
317	118436	132220
313	118351	141128
299	118356	135165
329	118367	132849
520	118541	131385
343	118399	129821
314	118522	132263
333	118382	133371
295	118423	134029
313	118425	132825
331	118429	132813
326	118420	133389
343	118444	134063
317	118358	133817
310	118412	133013
340	118380	133454
326	118349	132798
315	118566	133040
285	118364	132748
299	118426	132382
307	118391	134458
331	118445	129948
330	118607	130591
362	118553	130732
413	118490	130571
322	118380	130792
306	126082	138367
286	118353	129904
317	118386	130532
301	118393	129450
300	118413	129814
314	118452	130209
304	118399	129868
316	118449	130262
287	118401	130313
317	118361	130205
291	118361	130316
302	118354	130231
357	118392	130219
315	118394	130662
283	118418	134201
292	118570	130041
272	118380	130985
277	118401	132757
353	118458	135159
310	118335	134494
351	118389	135609
322	118413	130679
303	118400	134312
300	118398	133388
325	118472	134419
358	118583	133121
292	118330	135229
311	118319	132569
340	118360	136784
309	118386	134475
300	118348	134036
299	118367	134767
317	118371	133628
300	118371	136244
291	118379	140496
311	118339	137734
368	118423	133387
365	118430	130017
316	118372	133852
313	118394	135449
328	118415	133259
291	118414	132833
299	118334	129442
277	118378	130043
300	118329	130493
302	118335	129793
294	118384	129202
316	118391	130029
370	118352	129362
333	118378	129212
309	118335	129183
378	118437	129343
374	118371	129996
284	118398	130177
321	118439	130830
351	118467	129513
340	118531	129840
366	118428	129559
323	118368	130342
356	118444	130522
317	118378	129537
290	118428	130197
334	118427	129851
359	118448	129351
359	118392	130512
300	118356	129750
336	118401	129342
389	118458	130002
327	118387	129851
316	118424	129496
305	118357	129811
333	118334	129519
292	118310	129141
317	118408	129857
323	118400	129661
355	118383	129684
312	118369	129957
356	118465	129478
328	118391	129890
305	118339	129138
305	118384	130424
276	118344	129340
269	118574	130191
313	118367	129272
303	118348	129583
302	118425	129909
330	118412	130216
316	118417	135258
287	118410	130575
310	118545	129789
355	118403	130388
275	118330	130339
305	118398	129797
291	118491	130167
375	118458	130494
285	118369	129460
307	118484	129826
363	118397	130357
359	118380	129422
343	118416	129422
290	118375	129734
269	118318	129235
266	118335	130338
351	118595	129990
293	118348	130216
267	118319	129655
231	118286	129652
254	118355	129587
274	118352	129412
237	118335	130847
219	118324	128925
241	118286	130003
237	118334	129442
236	118279	129514
252	118286	130054
323	118365	129361
270	118362	129974
246	118308	130570
250	118306	129236
242	118353	129015
230	118578	130031
334	118391	130523
327	118402	129732
229	118284	129347
230	118292	130445
236	118270	130148
242	118330	130341
230	118285	130218
243	118321	130050
250	118327	129851
250	118310	129265
317	118597	129538
231	118321	136295
241	118546	130053
261	118589	130482
246	118366	129961
238	118286	129212
267	118566	129457
272	118316	130381
245	118243	130109
306	118292	129659
213	118271	129672
244	118277	129906
273	118318	129689
229	118285	129678
230	118444	130138
693	118765	133259
312	118343	128890
231	118236	129606
362	118434	130127
235	118330	130035
267	118331	134314
242	118334	129932
263	118334	129452
248	118271	129953
257	118341	130385
235	118321	129682
241	118341	129656
259	118307	129751
245	118283	129348
247	118306	129299
234	118294	129788
426	118451	130219
341	118654	129667
250	118407	130272
238	118317	132992
244	118299	129705
378	118281	129541
259	118295	130482
345	118284	130121
265	118305	129913
270	118316	129814
392	118404	130608
261	118302	130160
230	118322	130757
240	118292	129596
249	118300	129202
244	118317	129431
254	118323	129260
320	118595	129091
269	118356	130097
258	118282	129269
231	118438	129989
246	118533	129732
244	118299	130039
243	118288	129910
243	118327	130241
241	118295	131298
252	118300	129939
263	118261	129730
238	118275	130109
248	118315	130226
237	118297	129524
263	118326	130119
256	118307	129612
336	118374	130196
240	118261	133733
302	118335	129134
244	118318	129343
270	118317	129685
254	118310	130354
257	118374	128794
247	118315	129319
958	118295	129902
290	118271	129265
287	118328	139877
225	118272	129282
257	118282	129542
254	118326	129916
256	118321	129404
254	118321	129878
312	118373	130125
250	118293	129727
237	118256	129550
255	118283	129378
257	118360	129677
230	118367	129242
236	118546	130050
243	118309	130036
260	118312	129234
239	118310	130134
289	118448	129755
236	118402	131049
430	118440	130156
266	118314	129500
298	118335	129299
259	118549	129638
237	118275	129603
268	118313	138721
250	118278	130136
243	118324	129729
245	118285	129212
236	118304	130234
271	118384	130145
259	118310	129789
245	118295	129835
251	118295	129438
243	118329	130850
245	118559	130283
259	118347	130410
243	118274	130100
247	118307	129855
245	118276	142073
281	118513	129420
253	118308	129926
265	118314	131192
236	118315	129406
272	118277	130705
334	118371	130031
260	118341	129922
238	118308	129179
256	118299	129311
253	118350	129498
261	118298	129882
244	118292	130326
230	118285	138008
245	118274	128945
272	118527	129942
262	118333	129570
263	118317	129307
255	118308	129482
253	118271	130467
235	118284	129524
257	118335	130340
251	118288	130189
262	118622	130189
245	118301	129288
258	118442	130586
267	118318	130424
249	118283	129866
212	118334	130139
265	118328	129427
270	118319	130581
257	118341	131133
298	118352	130445
251	118338	129297
232	118293	129722
309	118384	129238
239	118309	131252
260	118314	129872
234	118270	129749
249	118517	130118
236	118308	130136
242	118300	129499
256	118300	130274
230	118363	130131
242	118338	129908
223	118237	129325
229	118288	129794
229	118233	129171
230	118357	129972
248	118288	130880
261	118315	128731
279	118333	129337
248	118293	130050
264	118317	130042
289	118344	130617
250	118316	128825
256	118547	129604
570	118852	129879
256	118298	130308
267	118284	129456
244	118339	128842
252	118317	129674
270	118350	130036
253	118304	130067
258	118316	129367
332	118401	130287
254	118312	129462
233	118314	129615
