write_duration_nsec	flush_duration_nsec
511134	4476390
509275	3234695
523111	3359977
520126	3814008
524482	3398674
660471	10155219
659341	3717863
810797	3537759
805755	3215103
794420	3807962
870555	3209176
874328	3371207
840253	3180373
884514	3302512
880415	3149470
874472	3242108
873385	3217121
864376	3338022
866976	3174920
831987	3297320
894378	3559538
898165	3311850
872455	3123551
888218	3276003
880388	4271282
879009	3156667
892898	3158021
869536	3709148
873812	3203719
890115	3932592
897662	3258361
871085	3302106
871239	3325046
870058	3119671
889391	3523823
848109	3204112
874429	3067303
894544	3458258
882478	3249788
876298	3339838
882371	3162883
883334	3261217
876028	3546922
861126	3368638
839843	4006329
898268	3186746
875065	3174439
870185	3264771
875625	3183590
852493	3096373
846762	3077339
891946	3288463
882088	3080033
881322	3870870
767898	3007606
765061	3172593
762801	3150162
889825	3347312
900461	3247587
884005	3281056
875328	3085912
878619	3320690
885028	3273640
877328	3213212
903131	3257007
872318	3323912
876239	3269541
871125	3288373
857159	3054320
860359	3375528
901311	3057896
881005	3321915
880765	3135351
878615	3219219
882278	3256774
879965	3140874
918474	3694568
909447	3223735
876018	3102972
878205	3424646
807574	3823407
783098	3137394
819840	3142188
895801	3247401
900525	3394667
872788	3284466
879585	3374790
883955	3252594
881005	3081472
874611	3408603
884298	3266240
907764	3537699
874556	3272754
877302	3282057
883962	3332285
878971	3286996
875605	3310706
897101	3299036
909430	3025554
871665	3358487
868298	3106205
878449	3790550
879632	3079019
883008	3340751
891175	3272741
883051	3394643
889722	3562416
878561	3300346
877485	3615594
881922	3246361
879938	3305989
883694	3290796
897811	3184670
876955	3357211
879108	3282000
876412	3357845
884429	3186470
874619	3357261
881045	3281356
891021	3430745
877588	3261774
877535	3411730
875542	3078675
882492	3236505
884785	3294140
880202	3151697
909598	3549699
881788	3146657
877561	3215402
871299	3296786
844543	3011014
884585	3597778
896044	3016504
894648	3154700
868998	3630396
757670	3017654
757950	4097181
771303	3039389
882149	3100135
888228	3498310
907741	3287720
886291	3391383
875589	3275747
863742	3224682
835013	3259211
867132	3253557
882849	3093316
891078	3716307
868322	3229055
878768	3565561
881228	3236081
876822	3270864
874212	3415150
869879	3304276
895845	3397727
872098	3375410
873712	3228432
874505	3391373
877585	3195985
877285	3352711
874672	3235751
